;enlace;address;price;expensas;tipo;superficie;cantidad_ambientes;cantidad_dormitorios;cantidad_banos;latitud;longitud;UNNE;UTN;UCES;UCuencaPlata;UCSalta;UGastónDachary;US21
0;https://www.estudioorcola.com/ficha.php?codigo=19111202&modalidad=1;Avenida Rivadavia 810 - Macrocentro;430000.0;;;50;2;;;nan;nan;;;;;;;
1;https://www.estudioorcola.com/ficha.php?codigo=219622&modalidad=1;Las Heras 766 - U.N.N.E.;290000.0;;;36;1;;;nan;nan;;;;;;;
2;https://www.estudioorcola.com/ficha.php?codigo=249450&modalidad=1;Franklin 756 - Zona Unne;230000.0;;;35;1;;;nan;nan;;;;;;;
3;https://www.estudioorcola.com/ficha.php?codigo=2492645&modalidad=1;Avenida Wilde 12 - Micro Centro;400000.0;;;;2;;;nan;nan;;;;;;;
4;https://www.estudioorcola.com/ficha.php?codigo=2492603&modalidad=1;San Lorenzo 1180 - Zona Unne;200000.0;;;;1;;;nan;nan;;;;;;;
5;https://www.estudioorcola.com/ficha.php?codigo=2492620&modalidad=1;Pueyrredon 455 - Micro Centro;380000.0;;;;2;;;nan;nan;;;;;;;
6;https://www.estudioorcola.com/ficha.php?codigo=2212327&modalidad=1;Avenida Sarmiento 764 - Macrocentro;280000.0;;;40;1;;;nan;nan;;;;;;;
7;https://www.estudioorcola.com/ficha.php?codigo=1353049&modalidad=1;Frondizi 850 - Macrocentro;270000.0;;;65;2;;;nan;nan;;;;;;;
8;https://www.estudioorcola.com/ficha.php?codigo=22111936&modalidad=1;Av. Sarmiento 440 - Macrocentro;400000.0;;;86;2;;;nan;nan;;;;;;;
9;https://www.estudioorcola.com/ficha.php?codigo=249911&modalidad=1;Alem 495 - -;200000.0;;;35;1;;;nan;nan;;;;;;;
10;https://www.estudioorcola.com/ficha.php?codigo=249459&modalidad=1;Roberto Mora 60 - Macro Centro;230000.0;;;38;1;;;nan;nan;;;;;;;
11;https://www.estudioorcola.com/ficha.php?codigo=1842446&modalidad=1;Ameghino 935 - UNNE;35000.0;;;98;3;;;nan;nan;;;;;;;
12;https://www.estudioorcola.com/ficha.php?codigo=242555&modalidad=1;Maipu 763 (CABA) - Galerias Pacifico (ALQUILER TEMPORARIO);;;;38;1;;;nan;nan;;;;;;;
0;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-2-ambientes--16364770;Arbo Y Blanco 800, Piso 1;320000.0;;Departamento;45;2;1;1;-27,46236;-58,98879;5.0;15.0;16.0;4.0;8.0;8.0;11.0
1;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-3-ambientes--6559009;Arbo Y Blanco 800, Piso 2°;350000.0;15000.0;Departamento;;3;2;1;-27,46245;-58,98872;5.0;15.0;16.0;4.0;8.0;8.0;11.0
2;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-5-ambientes--9046760;Av. Alberdi 200, Piso 6;550000.0;130000.0;Departamento;;5;4;2;-27,4529;-58,98876;12.0;9.0;8.0;7.0;5.0;4.0;4.0
3;https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-2-ambientes--16300625;Catamarca 1300, Piso 3;200000.0;30000.0;Departamento;;2;1;1;-28,46958;-65,77954;6766.0;6773.0;6771.0;6765.0;6767.0;6766.0;6759.0
4;https://www.argenprop.com/departamento-en-alquiler-en-zona-unne-1-ambiente--16361737;Arbo Y Blanco 1300;200000.0;;Departamento;;;;1;-27,46728;-58,99368;10.0;23.0;23.0;11.0;15.0;15.0;16.0
5;https://www.argenprop.com/departamento-en-alquiler-en-zona-residencial-2-ambientes--8106500;Fray Capelli 100;320000.0;;Departamento;;2;1;1;-27,44072;-59,00003;29.0;23.0;21.0;25.0;22.0;22.0;14.0
6;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-1-ambiente--9688176;Las Heras 700, Piso 3;240000.0;51300.0;Departamento;;;;1;-27,46324;-58,98612;2.0;15.0;15.0;4.0;8.0;8.0;13.0
7;https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--15195540;JUSTO JUAN B. 100;400000.0;;Departamento;90;4;3;2;-27,452848;-58,986137;12.0;7.0;6.0;7.0;3.0;3.0;6.0
8;https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--8244066;PERON JUAN DOMINGO 700;150000.0;15000.0;Departamento;23;;;1;-27,446608;-58,994915;21.0;16.0;14.0;17.0;14.0;13.0;6.0
9;https://www.argenprop.com/departamento-en-alquiler-en-villa-san-juan-1-ambiente--12993799;PARODI 200;95000.0;20000.0;Departamento;20;;;1;-27,46824;-58,971584;13.0;20.0;22.0;16.0;18.0;19.0;27.0
10;https://www.argenprop.com/departamento-en-alquiler-en-villa-asuncion-1-ambiente--15901269;Zorrilla 600;100000.0;;Departamento;;;;1;-26,58577;-60,95401;2182.0;2180.0;2177.0;2178.0;2177.0;2176.0;2168.0
11;https://www.argenprop.com/departamento-en-alquiler-en-villa-maria-4-ambientes--8445979;JULIO A. ROCA 1000;370000.0;30000.0;Departamento;75;4;3;1;-27,443851;-58,996346;25.0;18.0;16.0;20.0;17.0;17.0;10.0
12;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16094517;NECOCHEA 200;260000.0;;Departamento;45;2;1;1;-27,45056;-58,991222;16.0;12.0;10.0;11.0;9.0;8.0;2.0
13;https://www.argenprop.com/departamento-en-alquiler-en-villa-asuncion-2-ambientes--8302316;HERNANDEZ 1000;160000.0;2500.0;Departamento;40;2;1;1;-27,448154;-58,97071;21.0;8.0;10.0;19.0;15.0;16.0;22.0
14;https://www.argenprop.com/departamento-en-alquiler-en-microcentro-3-ambientes--16101071;PJE DEL TEATRO 100;320000.0;10000.0;Departamento;60;3;2;;-27,456676;-58,99014;9.0;12.0;11.0;5.0;5.0;5.0;5.0
15;https://www.argenprop.com/departamento-en-alquiler-en-microcentro-4-ambientes--16193250;LOPEZ Y PLANES 600;390000.0;170000.0;Departamento;95;4;3;2;-27,448084;-58,97801;17.0;3.0;3.0;14.0;10.0;10.0;15.0
16;https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-4-ambientes--16193274;PUEYRREDON 400;450000.0;20000.0;Departamento;70;4;3;2;-27,447077;-58,985634;18.0;7.0;5.0;13.0;9.0;9.0;9.0
17;https://www.argenprop.com/departamento-en-alquiler-en-zona-unne-4-ambientes--16215932;Av Chaco 1300;350000.0;;Departamento;;4;3;1;-27,47415;-58,98439;11.0;26.0;27.0;16.0;20.0;20.0;25.0
18;https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--16255465;Arbo Y Blanco 200, Piso 1;300000.0;;Departamento;;4;3;2;-27,45746;-58,98326;6.0;8.0;9.0;3.0;2.0;2.0;11.0
19;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--8946686;NECOCHEA 100;210000.0;15000.0;Departamento;30;2;1;1;-27,449608;-58,99009;16.0;11.0;8.0;11.0;9.0;8.0;4.0
20;https://www.argenprop.com/departamento-en-alquiler-en-resistencia--16296093;Alte G Brown 100, Piso 14;450000.0;100000.0;Departamento;;;3;1;-27,450562;-58,98345;14.0;4.0;2.0;10.0;6.0;5.0;9.0
21;https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-2-ambientes--16296262;Jose M Paz 900;160000.0;;Departamento;;2;1;1;-34,73257;-58,4285;8100.0;8113.0;8115.0;8104.0;8108.0;8108.0;8112.0
22;https://www.argenprop.com/departamento-en-alquiler-en-los-troncos-2-ambientes--16296352;Av. Rissione 600, Piso 2;350000.0;18000.0;Departamento;;2;1;1;-27,44341;-58,96642;27.0;15.0;15.0;25.0;22.0;22.0;28.0
23;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16300989;Av. Chaco 1500;250000.0;;Departamento;33;2;1;1;-27,4761;-58,98611;14.0;28.0;29.0;18.0;22.0;22.0;26.0
24;https://www.argenprop.com/departamento-en-alquiler-en-villa-del-oeste-3-ambientes--8478963;1º DE MAYO 1100;150000.0;15000.0;Departamento;60;3;2;1;-27,456268;-59,00619;23.0;27.0;25.0;20.0;21.0;20.0;13.0
25;https://www.argenprop.com/departamento-en-alquiler-en-villa-alta-1-ambiente--9047880;SICAS 100;95000.0;;Departamento;24;;;;-27,436663;-59,002605;35.0;28.0;25.0;30.0;27.0;27.0;20.0
26;https://www.argenprop.com/departamento-en-alquiler-en-nueva-resistencia-3-ambientes--16349490;Mz. 69 - Uf. 16 - Barrio Nueva Resistencia 100;220000.0;;Departamento;55;3;2;1;-27,441229;-59,020306;43.0;42.0;39.0;39.0;39.0;38.0;29.0
27;https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-2-ambientes--16349527;ALEM LEANDRO N. 400;250000.0;15000.0;Departamento;40;2;1;1;-27,461796;-58,990616;7.0;16.0;16.0;5.0;9.0;8.0;10.0
